,offense,defense,scoring,elapsed,plays,start_yards_to_goal,yards,drive_result,off_points_gained
128,Weber State,Utah,1,3.533333333333333,8,80,80,PASSING TD,6
129,Utah,Weber State,0,0.0,6,80,30,PUNT,0
130,Weber State,Utah,1,6.483333333333333,10,89,89,PASSING TD,6
131,Utah,Weber State,0,0.2,1,44,-2,END OF GAME,0
132,Oregon State,Utah,1,3.216666666666667,8,80,60,FG GOOD,3
133,Utah,Oregon State,1,6.4,13,84,68,FG GOOD,3
134,Oregon State,Utah,0,2.216666666666667,6,80,16,PUNT,0
135,Utah,Oregon State,0,0.9666666666666667,3,92,-6,PUNT,0
136,Oregon State,Utah,0,1.6,3,43,4,PUNT,0
137,Utah,Oregon State,1,0.75,2,87,2,INT,0
139,Utah,Oregon State,1,3.35,7,15,4,FG GOOD,3
140,Oregon State,Utah,0,1.6333333333333333,3,78,5,PUNT,0
141,Utah,Oregon State,1,2.8,6,60,60,PASSING TD,6
142,Oregon State,Utah,0,2.6166666666666667,4,80,7,FUMBLE,0
143,Utah,Oregon State,1,1.9333333333333333,5,27,27,RUSHING TD,6
144,Oregon State,Utah,0,1.3,4,80,80,PASSING TD,6
145,Utah,Oregon State,0,0.9833333333333333,3,80,4,PUNT,0
146,Oregon State,Utah,0,0.23333333333333334,2,63,26,END OF HALF,0
147,Utah,Oregon State,0,1.45,3,80,14,FUMBLE,0
148,Oregon State,Utah,1,1.0,3,34,34,RUSHING TD,6
149,Utah,Oregon State,0,1.9,7,61,11,PUNT,0
150,Oregon State,Utah,0,1.65,3,80,10,PUNT,0
151,Utah,Oregon State,0,2.2,3,78,-1,PUNT,0
152,Oregon State,Utah,0,5.85,10,59,37,FG MISSED,0
153,Utah,Oregon State,0,2.5666666666666664,6,74,16,PUNT,0
154,Oregon State,Utah,0,2.4833333333333334,5,80,46,PUNT,0
155,Utah,Oregon State,0,2.0166666666666666,4,80,43,PUNT,0
156,Oregon State,Utah,1,6.583333333333333,11,80,80,PASSING TD,6
157,Utah,Oregon State,1,0.8166666666666667,4,60,60,PASSING TD,6
158,Oregon State,Utah,0,0.38333333333333336,3,80,4,PUNT,0
160,Wyoming,Utah,0,1.7166666666666668,3,80,9,PUNT,0
161,Utah,Wyoming,0,1.35,3,70,6,PUNT,0
162,Wyoming,Utah,1,0.7833333333333333,2,90,5,INT,0
164,Wyoming,Utah,0,1.6833333333333333,4,80,21,FUMBLE,0
165,Utah,Wyoming,0,1.6166666666666667,3,41,-3,PUNT,0
166,Wyoming,Utah,0,1.2333333333333334,3,95,8,PUNT,0
167,Utah,Wyoming,1,2.25,6,49,16,FG GOOD,3
168,Wyoming,Utah,0,2.4333333333333336,3,80,2,PUNT,0
169,Utah,Wyoming,0,2.783333333333333,7,58,20,PUNT,0
170,Wyoming,Utah,0,1.5,3,82,3,PUNT,0
171,Utah,Wyoming,1,2.15,6,47,26,FG GOOD,3
172,Wyoming,Utah,1,0.9333333333333333,3,80,-1,PUNT,0
174,Wyoming,Utah,0,3.3333333333333335,8,77,41,INT,0
175,Utah,Wyoming,1,6.216666666666667,15,63,63,RUSHING TD,6
176,Wyoming,Utah,0,0.016666666666666666,0,75,0,END OF HALF,0
177,Utah,Wyoming,0,2.283333333333333,3,76,7,PUNT,0
178,Wyoming,Utah,0,1.5666666666666667,3,69,-11,PUNT,0
179,Utah,Wyoming,1,0.55,2,54,54,PASSING TD,6
180,Wyoming,Utah,0,1.5166666666666666,3,72,4,PUNT,0
181,Utah,Wyoming,0,1.55,3,80,6,PUNT,0
182,Wyoming,Utah,0,1.6,4,35,3,INT,0
183,Utah,Wyoming,0,3.25,6,69,27,PUNT,0
184,Wyoming,Utah,0,0.7166666666666667,3,80,1,PUNT,0
185,Utah,Wyoming,0,1.7,3,67,-3,PUNT,0
186,Wyoming,Utah,0,2.65,5,64,14,PUNT,0
187,Utah,Wyoming,0,2.2,3,86,5,PUNT,0
188,Wyoming,Utah,1,2.6333333333333333,7,80,80,PASSING TD,6
189,Utah,Wyoming,1,4.466666666666667,5,67,11,PUNT,0
191,Wyoming,Utah,0,3.1666666666666665,13,80,65,TURNOVER ON DOWNS,0
193,Utah,Colorado State,1,2.3666666666666667,6,60,60,PASSING TD,6
194,Colorado State,Utah,1,4.65,10,80,80,PASSING TD,6
195,Utah,Colorado State,1,5.216666666666667,12,79,79,RUSHING TD,6
196,Colorado State,Utah,0,3.033333333333333,5,82,8,PUNT,0
197,Utah,Colorado State,0,3.8,7,77,29,PUNT,0
198,Colorado State,Utah,0,1.55,3,94,5,PUNT,0
199,Utah,Colorado State,0,0.8666666666666667,2,53,-3,INT,0
200,Colorado State,Utah,1,1.5166666666666666,4,13,5,FG GOOD,3
201,Utah,Colorado State,1,2.85,9,76,76,RUSHING TD,6
202,Colorado State,Utah,0,2.05,4,80,24,PUNT,0
203,Utah,Colorado State,1,0.8,4,75,75,PASSING TD,6
